 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
1340.13450    0.192977E+03    0.495697E+01    0.869904E+03    0.657942E+00
1343.42300    0.195592E+03    0.498476E+01    0.875871E+03    0.666450E+00
1346.71150    0.198222E+03    0.501191E+01    0.881714E+03    0.675707E+00
1350.00000    0.200866E+03    0.503837E+01    0.887422E+03    0.690225E+00
1380.00000    0.225621E+03    0.527557E+01    0.939225E+03    0.696321E+00
1410.00000    0.251510E+03    0.551145E+01    0.991873E+03    0.705834E+00
1440.00000    0.278529E+03    0.574632E+01    0.104542E+04    0.714517E+00
1470.00000    0.306674E+03    0.598043E+01    0.109992E+04    0.722488E+00
1500.00000    0.335940E+03    0.621395E+01    0.115541E+04    0.729855E+00
1530.00000    0.366327E+03    0.644704E+01    0.121191E+04    0.736693E+00
1560.00000    0.397832E+03    0.667981E+01    0.126945E+04    0.743060E+00
1590.00000    0.430453E+03    0.691235E+01    0.132805E+04    0.749013E+00
1620.00000    0.464190E+03    0.714475E+01    0.138773E+04    0.754597E+00
1650.00000    0.499042E+03    0.737707E+01    0.144850E+04    0.759845E+00
1680.00000    0.535009E+03    0.760937E+01    0.151039E+04    0.764790E+00
1710.00000    0.572092E+03    0.784170E+01    0.157340E+04    0.769463E+00
1740.00000    0.610289E+03    0.807409E+01    0.163754E+04    0.773882E+00
1770.00000    0.649602E+03    0.830657E+01    0.170282E+04    0.778075E+00
1800.00000    0.690032E+03    0.853919E+01    0.176926E+04    0.782056E+00
1830.00000    0.731579E+03    0.877197E+01    0.183685E+04    0.785840E+00
1860.00000    0.774243E+03    0.900491E+01    0.190562E+04    0.789450E+00
1890.00000    0.818025E+03    0.923805E+01    0.197556E+04    0.792898E+00
1920.00000    0.862928E+03    0.947139E+01    0.204668E+04    0.796195E+00
1950.00000    0.908950E+03    0.970494E+01    0.211899E+04    0.799356E+00
1980.00000    0.956095E+03    0.993872E+01    0.219249E+04    0.802384E+00
2010.00000    0.100436E+04    0.101727E+02    0.226719E+04    0.805296E+00
2040.00000    0.105375E+04    0.104070E+02    0.234308E+04    0.808101E+00
2070.00000    0.110427E+04    0.106414E+02    0.242017E+04    0.810811E+00
2100.00000    0.115591E+04    0.108761E+02    0.249847E+04    0.813432E+00
2130.00000    0.120868E+04    0.111111E+02    0.257797E+04    0.815962E+00
2160.00000    0.126257E+04    0.113462E+02    0.265868E+04    0.818416E+00
2190.00000    0.131760E+04    0.115816E+02    0.274059E+04    0.820806E+00
2220.00000    0.137376E+04    0.118172E+02    0.282371E+04    0.823133E+00
2250.00000    0.143104E+04    0.120530E+02    0.290803E+04    0.825400E+00
2280.00000    0.148946E+04    0.122889E+02    0.299354E+04    0.827621E+00
2310.00000    0.154902E+04    0.125251E+02    0.308026E+04    0.829796E+00
2340.00000    0.160971E+04    0.127614E+02    0.316817E+04    0.831931E+00
2370.00000    0.167153E+04    0.129979E+02    0.325727E+04    0.834037E+00
2400.00000    0.173449E+04    0.132345E+02    0.334755E+04    0.840263E+00
